DATE,YEAR,MONTH,DAY,RAIN_GAUGE_ID,QUADRANT,AMOUNT,RAIN_GAUGE_MOVED,LATITUDE,LONGITUDE,LOCATION
June 28 2016,2016,June,28,P302,SE,20,,53.39543995,-113.48949618,POINT (-113.48949618 53.39543995)
August 21 2015,2015,August,21,P230,NE,10,,53.59940776,-113.32013852,POINT (-113.32013852 53.59940776)
August 06 2019,2019,August,6,P209,NE,97,,53.72338800,-113.40293500,POINT (-113.402935 53.723388)
May 21 2013,2013,May,21,P323,SE,0,,53.54102068,-113.38712441,POINT (-113.38712441 53.54102068)
June 11 2018,2018,June,11,P304,SE,34,,53.34272667,-113.49339267,POINT (-113.493392666667 53.3427266666667)
May 24 2016,2016,May,24,P308,SE,72,,53.42510358,-113.39352162,POINT (-113.39352162 53.42510358)
June 03 2014,2014,June,3,P208,NE,0,,53.74493000,-113.39668000,POINT (-113.39668 53.74493)
October 24 2016,2016,October,24,P001,SW,28,,53.51159774,-113.88534680,POINT (-113.8853468 53.51159774)
July 18 2012,2012,July,18,P301,SE,12,,53.41575000,-113.49201000,POINT (-113.49201 53.41575)
July 02 2014,2014,July,2,P119,NW,24,,53.74493300,-113.69431900,POINT (-113.694319 53.744933)
July 15 2013,2013,July,15,P311,SE,60,,53.50863328,-113.39368537,POINT (-113.39368537 53.50863328)
August 23 2012,2012,August,23,P316,SE,14,,53.36696000,-113.29530000,POINT (-113.2953 53.36696)
June 23 2015,2015,June,23,P227,NE,6,,53.65752511,-113.24484657,POINT (-113.24484657 53.65752511)
May 23 2012,2012,May,23,P016,SW,22,,53.39570000,-113.59009000,POINT (-113.59009 53.3957)
June 26 2013,2013,June,26,P213,NE,41,,53.65775709,-113.31977294,POINT (-113.31977294 53.65775709)
June 21 2017,2017,June,21,P307,SE,22,,53.39633567,-113.39358509,POINT (-113.39358509 53.39633567)
June 15 2017,2017,June,15,P120,NW,14,,53.71725744,-113.69427938,POINT (-113.69427938 53.71725744)
July 03 2019,2019,July,3,P312,SE,40,,53.47588733,-113.29083633,POINT (-113.290836333333 53.4758873333333)
June 06 2014,2014,June,6,P014,SW,20,,53.33807900,-113.58586600,POINT (-113.585866 53.338079)
September 11 2018,2018,September,11,P304,SE,17,,53.34272667,-113.49339267,POINT (-113.493392666667 53.3427266666667)
August 21 2015,2015,August,21,P105,NW,8,,53.57317324,-113.68849836,POINT (-113.68849836000001 53.57317324)
August 15 2012,2012,August,15,P232,NE,8,,53.57017300,-113.33668130,POINT (-113.3366813 53.570173)
June 12 2017,2017,June,12,P303,SE,14,,53.36748611,-113.49163468,POINT (-113.49163468 53.36748611)
July 03 2019,2019,July,3,P301,SE,26,,53.42051700,-113.48801000,POINT (-113.48801 53.420517)
June 15 2015,2015,June,15,P204,NW,9,,53.71622846,-113.49746390,POINT (-113.4974639 53.71622846)
July 21 2017,2017,July,21,P229,NE,22,,53.60009293,-113.27061007,POINT (-113.27061007000002 53.60009293)
July 22 2013,2013,July,22,P013,SW,31,,53.36677954,-113.66438025,POINT (-113.66438025000001 53.36677954)
June 11 2013,2013,June,11,P304,SE,6,,53.33796044,-113.48874632,POINT (-113.48874632 53.33796044)
June 03 2013,2013,June,3,P013,SW,4,,53.36677954,-113.66438025,POINT (-113.66438025000001 53.36677954)
August 10 2012,2012,August,10,P309,SE,14,,53.45440000,-113.38191000,POINT (-113.38191 53.4544)
July 24 2012,2012,July,24,P312,SE,18,,53.48060000,-113.29547000,POINT (-113.29547000000001 53.48060000000001)
April 19 2016,2016,April,19,P214,NE,0,,53.68326550,-113.31986799,POINT (-113.31986799 53.6832655)
July 02 2014,2014,July,2,P304,SE,10,,53.33796000,-113.48874600,POINT (-113.488746 53.33796)
June 29 2017,2017,June,29,P125,NW,14,,53.68736247,-113.68460299,POINT (-113.68460299 53.687362470000004)
July 16 2012,2012,July,16,P227,NE,30,,53.65716540,-113.21756200,POINT (-113.21756200000002 53.6571654)
August 20 2013,2013,August,20,P112,NW,10,,53.74526601,-113.59539388,POINT (-113.59539387750002 53.7452660082)
May 30 2013,2013,May,30,P105,NW,15,,53.57326449,-113.68852872,POINT (-113.688528724 53.5732644936)
July 15 2013,2013,July,15,P016,SW,33,,53.39571126,-113.59029381,POINT (-113.59029381 53.39571126)
June 20 2014,2014,June,20,P102,NW,9,,53.54253600,-113.79265400,POINT (-113.79265400000001 53.542536)
September 18 2017,2017,September,18,P314,SE,26,,53.42517364,-113.29551575,POINT (-113.29551575 53.42517364)
August 13 2018,2018,August,13,P203,NW,28,,53.69232467,-113.49551567,POINT (-113.495515666667 53.6923246666667)
June 26 2013,2013,June,26,P306,SE,31,,53.36678842,-113.39131892,POINT (-113.39131892000002 53.36678842)
June 26 2013,2013,June,26,P017,SW,32,,53.42473211,-113.58992719,POINT (-113.58992719 53.42473211)
July 24 2012,2012,July,24,P311,SE,20,,53.50872000,-113.39357000,POINT (-113.39357 53.508720000000004)
